央视,#genre#
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225501/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226221/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226221/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226225/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226225/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221226225/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225501/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221226221/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225501/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225501/index.m3u8?fmt=ts2hls
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225618/index.m3u8

CCTV2,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225500/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225500/index.m3u8?fmt=ts2hls
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225500/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225500/index.m3u8

CCTV3,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1001::48]:6610/PLTV/88888910/224/3221225647/index.m3u8
